word,pos,tag,desc
products,NOUN,NNS,"noun, common, plural"
music,NOUN,NN,"noun, common, singular or mass"
buy,VERB,VB,"verb, base form"
data,NOUN,NNS,"noun, common, plural"
make,VERB,VB,"verb, base form"
them,PRON,PRP,"pronoun, personal"
should,AUX,MD,modal auxiliary
product,NOUN,NN,"noun, common, singular or mass"
system,NOUN,NN,"noun, common, singular or mass"
post,NOUN,NN,"noun, common, singular or mass"
her,PRON,PRP,"pronoun, personal"
city,NOUN,NN,"noun, common, singular or mass"
add,VERB,VB,"verb, base form"
policy,NOUN,NN,"noun, common, singular or mass"
number,NOUN,NN,"noun, common, singular or mass"
such,ADJ,JJ,"adjective or numeral, ordinal"
please,INTJ,UH,interjection
available,ADJ,JJ,"adjective or numeral, ordinal"
copyright,NOUN,NN,"noun, common, singular or mass"
support,NOUN,NN,"noun, common, singular or mass"
message,NOUN,NN,"noun, common, singular or mass"
after,ADP,IN,"preposition or conjunction, subordinating"
best,ADJ,JJS,"adjective, superlative"
software,NOUN,NN,"noun, common, singular or mass"
then,ADV,RB,adverb
good,ADJ,JJ,"adjective or numeral, ordinal"
video,NOUN,NN,"noun, common, singular or mass"
well,INTJ,UH,interjection
where,ADV,WRB,Wh-adverb
info,NOUN,NN,"noun, common, singular or mass"
rights,NOUN,NNS,"noun, common, plural"
public,ADJ,JJ,"adjective or numeral, ordinal"
books,NOUN,NNS,"noun, common, plural"
high,ADJ,JJ,"adjective or numeral, ordinal"
school,NOUN,NN,"noun, common, singular or mass"
through,ADP,IN,"preposition or conjunction, subordinating"
each,DET,DT,determiner
links,NOUN,NNS,"noun, common, plural"
she,PRON,PRP,"pronoun, personal"
review,NOUN,NN,"noun, common, singular or mass"
years,NOUN,NNS,"noun, common, plural"
order,NOUN,NN,"noun, common, singular or mass"
very,ADV,RB,adverb
privacy,NOUN,NN,"noun, common, singular or mass"
book,NOUN,NN,"noun, common, singular or mass"
items,NOUN,NNS,"noun, common, plural"
company,NOUN,NN,"noun, common, singular or mass"
read,VERB,VBN,"verb, past participle"
group,NOUN,NN,"noun, common, singular or mass"
sex,NOUN,NN,"noun, common, singular or mass"
need,VERB,VB,"verb, base form"
many,ADJ,JJ,"adjective or numeral, ordinal"
user,NOUN,NN,"noun, common, singular or mass"
said,VERB,VBD,"verb, past tense"
does,VERB,VBZ,"verb, present tense, 3rd person singular"
set,VERB,VBN,"verb, past participle"
under,ADP,IN,"preposition or conjunction, subordinating"
general,ADJ,JJ,"adjective or numeral, ordinal"
research,NOUN,NN,"noun, common, singular or mass"
university,NOUN,NN,"noun, common, singular or mass"
january,NOUN,NN,"noun, common, singular or mass"
mail,NOUN,NN,"noun, common, singular or mass"
full,ADJ,JJ,"adjective or numeral, ordinal"
map,NOUN,NN,"noun, common, singular or mass"
reviews,VERB,VBZ,"verb, present tense, 3rd person singular"
program,NOUN,NN,"noun, common, singular or mass"
life,NOUN,NN,"noun, common, singular or mass"
know,VERB,VBP,"verb, present tense, not 3rd person singular"
games,NOUN,NNS,"noun, common, plural"
way,NOUN,NN,"noun, common, singular or mass"
days,NOUN,NNS,"noun, common, plural"
management,NOUN,NN,"noun, common, singular or mass"
part,NOUN,NN,"noun, common, singular or mass"
could,AUX,MD,modal auxiliary
great,ADJ,JJ,"adjective or numeral, ordinal"
united,ADJ,JJ,"adjective or numeral, ordinal"
hotel,NOUN,NN,"noun, common, singular or mass"
real,ADJ,JJ,"adjective or numeral, ordinal"
item,NOUN,NN,"noun, common, singular or mass"
international,ADJ,JJ,"adjective or numeral, ordinal"
must,AUX,MD,modal auxiliary
store,NOUN,NN,"noun, common, singular or mass"
travel,VERB,VB,"verb, base form"
comments,NOUN,NNS,"noun, common, plural"
made,VERB,VBD,"verb, past tense"
development,NOUN,NN,"noun, common, singular or mass"
report,NOUN,NN,"noun, common, singular or mass"
off,ADP,RP,particle
member,NOUN,NN,"noun, common, singular or mass"
details,NOUN,NNS,"noun, common, plural"
line,NOUN,NN,"noun, common, singular or mass"
terms,NOUN,NNS,"noun, common, plural"
before,ADP,IN,"preposition or conjunction, subordinating"
hotels,NOUN,NNS,"noun, common, plural"
did,VERB,VBD,"verb, past tense"
send,VERB,VB,"verb, base form"
right,ADV,RB,adverb
type,NOUN,NN,"noun, common, singular or mass"
because,SCONJ,IN,"preposition or conjunction, subordinating"
local,ADJ,JJ,"adjective or numeral, ordinal"
those,DET,DT,determiner
using,VERB,VBG,"verb, present participle or gerund"
results,NOUN,NNS,"noun, common, plural"
office,NOUN,NN,"noun, common, singular or mass"
education,NOUN,NN,"noun, common, singular or mass"
national,ADJ,JJ,"adjective or numeral, ordinal"
car,NOUN,NN,"noun, common, singular or mass"
design,NOUN,NN,"noun, common, singular or mass"
take,VERB,VB,"verb, base form"
posted,VERB,VBN,"verb, past participle"
internet,NOUN,NN,"noun, common, singular or mass"
address,NOUN,NN,"noun, common, singular or mass"
community,NOUN,NN,"noun, common, singular or mass"
within,ADP,IN,"preposition or conjunction, subordinating"
states,NOUN,NNS,"noun, common, plural"
area,NOUN,NN,"noun, common, singular or mass"
want,VERB,VBP,"verb, present tense, not 3rd person singular"
phone,NOUN,NN,"noun, common, singular or mass"
shipping,VERB,VBG,"verb, present participle or gerund"
reserved,VERB,VBN,"verb, past participle"
subject,ADJ,JJ,"adjective or numeral, ordinal"
between,ADP,IN,"preposition or conjunction, subordinating"
forum,NOUN,NN,"noun, common, singular or mass"
family,NOUN,NN,"noun, common, singular or mass"
long,ADV,RB,adverb
based,VERB,VBN,"verb, past participle"
code,NOUN,NN,"noun, common, singular or mass"
show,VERB,VB,"verb, base form"
even,ADV,RB,adverb
black,ADJ,JJ,"adjective or numeral, ordinal"
check,VERB,VB,"verb, base form"
special,ADJ,JJ,"adjective or numeral, ordinal"
prices,NOUN,NNS,"noun, common, plural"
website,NOUN,NN,"noun, common, singular or mass"
index,NOUN,NN,"noun, common, singular or mass"
being,VERB,VBG,"verb, present participle or gerund"
women,NOUN,NNS,"noun, common, plural"
much,ADV,RB,adverb
sign,NOUN,NN,"noun, common, singular or mass"
file,NOUN,NN,"noun, common, singular or mass"
link,VERB,VB,"verb, base form"
open,ADJ,JJ,"adjective or numeral, ordinal"
today,NOUN,NN,"noun, common, singular or mass"
technology,NOUN,NN,"noun, common, singular or mass"
south,ADV,RB,adverb
case,NOUN,NN,"noun, common, singular or mass"
project,NOUN,NN,"noun, common, singular or mass"
same,ADJ,JJ,"adjective or numeral, ordinal"
pages,NOUN,NNS,"noun, common, plural"
version,NOUN,NN,"noun, common, singular or mass"
section,NOUN,NN,"noun, common, singular or mass"
own,ADJ,JJ,"adjective or numeral, ordinal"
found,VERB,VBD,"verb, past tense"
sports,NOUN,NNS,"noun, common, plural"
house,NOUN,NN,"noun, common, singular or mass"
related,VERB,VBN,"verb, past participle"
security,NOUN,NN,"noun, common, singular or mass"
both,DET,DT,determiner
county,NOUN,NN,"noun, common, singular or mass"
american,ADJ,JJ,"adjective or numeral, ordinal"
photo,NOUN,NN,"noun, common, singular or mass"
game,NOUN,NN,"noun, common, singular or mass"
members,NOUN,NNS,"noun, common, plural"
power,NOUN,NN,"noun, common, singular or mass"
while,SCONJ,IN,"preposition or conjunction, subordinating"
care,VERB,VB,"verb, base form"
network,NOUN,NN,"noun, common, singular or mass"
down,ADV,RB,adverb
computer,NOUN,NN,"noun, common, singular or mass"
systems,NOUN,NNS,"noun, common, plural"
three,NUM,CD,"numeral, cardinal"
total,ADJ,JJ,"adjective or numeral, ordinal"
place,NOUN,NN,"noun, common, singular or mass"
end,NOUN,NN,"noun, common, singular or mass"
following,VERB,VBG,"verb, present participle or gerund"
download,NOUN,NN,"noun, common, singular or mass"
him,PRON,PRP,"pronoun, personal"
without,ADP,IN,"preposition or conjunction, subordinating"
per,ADP,IN,"preposition or conjunction, subordinating"
access,NOUN,NN,"noun, common, singular or mass"
think,VERB,VB,"verb, base form"
north,ADV,RB,adverb
resources,NOUN,NNS,"noun, common, plural"
current,ADJ,JJ,"adjective or numeral, ordinal"
posts,NOUN,NNS,"noun, common, plural"
big,ADJ,JJ,"adjective or numeral, ordinal"
media,NOUN,NNS,"noun, common, plural"
law,NOUN,NN,"noun, common, singular or mass"
control,NOUN,NN,"noun, common, singular or mass"
water,NOUN,NN,"noun, common, singular or mass"
history,NOUN,NN,"noun, common, singular or mass"
pictures,NOUN,NNS,"noun, common, plural"
size,NOUN,NN,"noun, common, singular or mass"
art,NOUN,NN,"noun, common, singular or mass"
personal,ADJ,JJ,"adjective or numeral, ordinal"
since,SCONJ,IN,"preposition or conjunction, subordinating"
including,VERB,VBG,"verb, present participle or gerund"
guide,NOUN,NN,"noun, common, singular or mass"
shop,NOUN,NN,"noun, common, singular or mass"
directory,NOUN,NN,"noun, common, singular or mass"
board,NOUN,NN,"noun, common, singular or mass"
location,NOUN,NN,"noun, common, singular or mass"
change,NOUN,NN,"noun, common, singular or mass"
white,ADJ,JJ,"adjective or numeral, ordinal"
text,NOUN,NN,"noun, common, singular or mass"
small,ADJ,JJ,"adjective or numeral, ordinal"
rating,NOUN,NN,"noun, common, singular or mass"
rate,NOUN,NN,"noun, common, singular or mass"
government,NOUN,NN,"noun, common, singular or mass"
children,NOUN,NNS,"noun, common, plural"
during,ADP,IN,"preposition or conjunction, subordinating"
return,VERB,VB,"verb, base form"
students,NOUN,NNS,"noun, common, plural"
shopping,VERB,VBG,"verb, present participle or gerund"
account,NOUN,NN,"noun, common, singular or mass"
times,NOUN,NNS,"noun, common, plural"
sites,NOUN,NNS,"noun, common, plural"
level,NOUN,NN,"noun, common, singular or mass"
digital,ADJ,JJ,"adjective or numeral, ordinal"
profile,VERB,VB,"verb, base form"
previous,ADJ,JJ,"adjective or numeral, ordinal"
form,NOUN,NN,"noun, common, singular or mass"
events,NOUN,NNS,"noun, common, plural"
love,NOUN,NN,"noun, common, singular or mass"
old,ADJ,JJ,"adjective or numeral, ordinal"
john,NOUN,NN,"noun, common, singular or mass"
main,ADJ,JJ,"adjective or numeral, ordinal"
call,VERB,VB,"verb, base form"
hours,NOUN,NNS,"noun, common, plural"
image,NOUN,NN,"noun, common, singular or mass"
department,NOUN,NN,"noun, common, singular or mass"
title,NOUN,NN,"noun, common, singular or mass"
description,NOUN,NN,"noun, common, singular or mass"
non,ADJ,JJ,"adjective or numeral, ordinal"
insurance,NOUN,NN,"noun, common, singular or mass"
another,DET,DT,determiner
why,ADV,WRB,Wh-adverb
shall,AUX,MD,modal auxiliary
property,NOUN,NN,"noun, common, singular or mass"
class,NOUN,NN,"noun, common, singular or mass"
still,ADV,RB,adverb
money,NOUN,NN,"noun, common, singular or mass"
quality,NOUN,NN,"noun, common, singular or mass"
every,DET,DT,determiner
listing,VERB,VBG,"verb, present participle or gerund"
content,NOUN,NN,"noun, common, singular or mass"
country,NOUN,NN,"noun, common, singular or mass"
private,ADJ,JJ,"adjective or numeral, ordinal"
little,ADJ,JJ,"adjective or numeral, ordinal"
visit,NOUN,NN,"noun, common, singular or mass"
save,VERB,VB,"verb, base form"
tools,NOUN,NNS,"noun, common, plural"
low,ADJ,JJ,"adjective or numeral, ordinal"
reply,VERB,VB,"verb, base form"
customer,NOUN,NN,"noun, common, singular or mass"
december,NOUN,NN,"noun, common, singular or mass"
compare,VERB,VB,"verb, base form"
movies,NOUN,NNS,"noun, common, plural"
include,VERB,VBP,"verb, present tense, not 3rd person singular"
college,NOUN,NN,"noun, common, singular or mass"
value,NOUN,NN,"noun, common, singular or mass"
article,NOUN,NN,"noun, common, singular or mass"
york,NOUN,NN,"noun, common, singular or mass"
man,NOUN,NN,"noun, common, singular or mass"
card,NOUN,NN,"noun, common, singular or mass"
jobs,NOUN,NNS,"noun, common, plural"
provide,VERB,VB,"verb, base form"
food,NOUN,NN,"noun, common, singular or mass"
source,NOUN,NN,"noun, common, singular or mass"
author,NOUN,NN,"noun, common, singular or mass"
different,ADJ,JJ,"adjective or numeral, ordinal"
press,NOUN,NN,"noun, common, singular or mass"
learn,VERB,VB,"verb, base form"
sale,NOUN,NN,"noun, common, singular or mass"
around,ADV,RB,adverb
print,NOUN,NN,"noun, common, singular or mass"
course,NOUN,NN,"noun, common, singular or mass"
job,NOUN,NN,"noun, common, singular or mass"
canada,NOUN,NN,"noun, common, singular or mass"
process,NOUN,NN,"noun, common, singular or mass"
teen,NOUN,NN,"noun, common, singular or mass"
room,NOUN,NN,"noun, common, singular or mass"
stock,NOUN,NN,"noun, common, singular or mass"
training,NOUN,NN,"noun, common, singular or mass"
too,ADV,RB,adverb
credit,NOUN,NN,"noun, common, singular or mass"
point,NOUN,NN,"noun, common, singular or mass"
join,VERB,VB,"verb, base form"
science,NOUN,NN,"noun, common, singular or mass"
men,NOUN,NNS,"noun, common, plural"
categories,NOUN,NNS,"noun, common, plural"
advanced,ADJ,JJ,"adjective or numeral, ordinal"
west,NOUN,NN,"noun, common, singular or mass"
sales,NOUN,NNS,"noun, common, plural"
look,VERB,VB,"verb, base form"
english,ADJ,JJ,"adjective or numeral, ordinal"
left,VERB,VBD,"verb, past tense"
team,NOUN,NN,"noun, common, singular or mass"
estate,NOUN,NN,"noun, common, singular or mass"
box,NOUN,NN,"noun, common, singular or mass"
conditions,NOUN,NNS,"noun, common, plural"
select,ADJ,JJ,"adjective or numeral, ordinal"
windows,NOUN,NNS,"noun, common, plural"
photos,NOUN,NNS,"noun, common, plural"
gay,ADJ,JJ,"adjective or numeral, ordinal"
thread,NOUN,NN,"noun, common, singular or mass"
week,NOUN,NN,"noun, common, singular or mass"
category,NOUN,NN,"noun, common, singular or mass"
note,VERB,VB,"verb, base form"
live,VERB,VB,"verb, base form"
large,ADJ,JJ,"adjective or numeral, ordinal"
gallery,NOUN,NN,"noun, common, singular or mass"
table,NOUN,NN,"noun, common, singular or mass"
register,VERB,VB,"verb, base form"
however,ADV,RB,adverb
june,NOUN,NN,"noun, common, singular or mass"
october,NOUN,NN,"noun, common, singular or mass"
november,NOUN,NN,"noun, common, singular or mass"
market,NOUN,NN,"noun, common, singular or mass"
library,NOUN,NN,"noun, common, singular or mass"
really,ADV,RB,adverb
action,NOUN,NN,"noun, common, singular or mass"
start,VERB,VB,"verb, base form"
series,NOUN,NN,"noun, common, singular or mass"
model,NOUN,NN,"noun, common, singular or mass"
features,VERB,VBZ,"verb, present tense, 3rd person singular"
air,NOUN,NN,"noun, common, singular or mass"
industry,NOUN,NN,"noun, common, singular or mass"
plan,NOUN,NN,"noun, common, singular or mass"
human,ADJ,JJ,"adjective or numeral, ordinal"
provided,VERB,VBN,"verb, past participle"
yes,INTJ,UH,interjection
required,VERB,VBN,"verb, past participle"
second,ADJ,JJ,"adjective or numeral, ordinal"
hot,ADJ,JJ,"adjective or numeral, ordinal"
accessories,NOUN,NNS,"noun, common, plural"
cost,NOUN,NN,"noun, common, singular or mass"
movie,NOUN,NN,"noun, common, singular or mass"
forums,NOUN,NNS,"noun, common, plural"
march,NOUN,NN,"noun, common, singular or mass"
september,NOUN,NN,"noun, common, singular or mass"
better,ADV,RBR,"adverb, comparative"
say,VERB,VB,"verb, base form"
questions,NOUN,NNS,"noun, common, plural"
july,NOUN,NN,"noun, common, singular or mass"
going,VERB,VBG,"verb, present participle or gerund"
medical,ADJ,JJ,"adjective or numeral, ordinal"
test,NOUN,NN,"noun, common, singular or mass"
friend,NOUN,NN,"noun, common, singular or mass"
come,VERB,VB,"verb, base form"
server,NOUN,NN,"noun, common, singular or mass"
study,NOUN,NN,"noun, common, singular or mass"
application,NOUN,NN,"noun, common, singular or mass"
cart,NOUN,NN,"noun, common, singular or mass"
staff,NOUN,NN,"noun, common, singular or mass"
articles,NOUN,NNS,"noun, common, plural"
san,NOUN,NN,"noun, common, singular or mass"
feedback,NOUN,NN,"noun, common, singular or mass"
again,ADV,RB,adverb
play,VERB,VB,"verb, base form"
looking,VERB,VBG,"verb, present participle or gerund"
issues,NOUN,NNS,"noun, common, plural"
april,NOUN,NN,"noun, common, singular or mass"
never,ADV,RB,adverb
users,NOUN,NNS,"noun, common, plural"
complete,ADJ,JJ,"adjective or numeral, ordinal"
street,NOUN,NN,"noun, common, singular or mass"
topic,NOUN,NN,"noun, common, singular or mass"
comment,NOUN,NN,"noun, common, singular or mass"
financial,ADJ,JJ,"adjective or numeral, ordinal"
things,NOUN,NNS,"noun, common, plural"
working,VERB,VBG,"verb, present participle or gerund"
against,ADP,IN,"preposition or conjunction, subordinating"
standard,ADJ,JJ,"adjective or numeral, ordinal"
tax,NOUN,NN,"noun, common, singular or mass"
person,NOUN,NN,"noun, common, singular or mass"
below,ADP,IN,"preposition or conjunction, subordinating"
mobile,ADJ,JJ,"adjective or numeral, ordinal"
less,ADV,RBR,"adverb, comparative"
got,VERB,VBD,"verb, past tense"
party,NOUN,NN,"noun, common, singular or mass"
payment,NOUN,NN,"noun, common, singular or mass"
equipment,NOUN,NN,"noun, common, singular or mass"
student,NOUN,NN,"noun, common, singular or mass"
let,VERB,VB,"verb, base form"
programs,NOUN,NNS,"noun, common, plural"
offers,VERB,VBZ,"verb, present tense, 3rd person singular"
legal,ADJ,JJ,"adjective or numeral, ordinal"
above,ADV,RB,adverb
recent,ADJ,JJ,"adjective or numeral, ordinal"
park,NOUN,NN,"noun, common, singular or mass"
stores,NOUN,NNS,"noun, common, plural"
side,NOUN,NN,"noun, common, singular or mass"
act,VERB,VB,"verb, base form"
problem,NOUN,NN,"noun, common, singular or mass"
red,ADJ,JJ,"adjective or numeral, ordinal"
give,VERB,VB,"verb, base form"
memory,NOUN,NN,"noun, common, singular or mass"
performance,NOUN,NN,"noun, common, singular or mass"
social,ADJ,JJ,"adjective or numeral, ordinal"
august,INTJ,UH,interjection
quote,INTJ,UH,interjection
language,NOUN,NN,"noun, common, singular or mass"
story,NOUN,NN,"noun, common, singular or mass"
sell,VERB,VB,"verb, base form"
options,NOUN,NNS,"noun, common, plural"
experience,NOUN,NN,"noun, common, singular or mass"
rates,NOUN,NNS,"noun, common, plural"
create,VERB,VB,"verb, base form"
key,ADJ,JJ,"adjective or numeral, ordinal"
body,NOUN,NN,"noun, common, singular or mass"
young,ADJ,JJ,"adjective or numeral, ordinal"
america,NOUN,NN,"noun, common, singular or mass"
important,ADJ,JJ,"adjective or numeral, ordinal"
field,NOUN,NN,"noun, common, singular or mass"
few,ADJ,JJ,"adjective or numeral, ordinal"
east,NOUN,NN,"noun, common, singular or mass"
paper,NOUN,NN,"noun, common, singular or mass"
single,ADJ,JJ,"adjective or numeral, ordinal"
age,NOUN,NN,"noun, common, singular or mass"
activities,NOUN,NNS,"noun, common, plural"
club,NOUN,NN,"noun, common, singular or mass"
example,NOUN,NN,"noun, common, singular or mass"
girls,NOUN,NNS,"noun, common, plural"
additional,ADJ,JJ,"adjective or numeral, ordinal"
password,NOUN,NN,"noun, common, singular or mass"
latest,ADJ,JJS,"adjective, superlative"
something,PRON,NN,"noun, common, singular or mass"
road,NOUN,NN,"noun, common, singular or mass"
gift,NOUN,NN,"noun, common, singular or mass"
question,NOUN,NN,"noun, common, singular or mass"
changes,NOUN,NNS,"noun, common, plural"
night,NOUN,NN,"noun, common, singular or mass"
hard,ADV,RB,adverb
texas,NOUN,NN,"noun, common, singular or mass"
pay,VERB,VB,"verb, base form"
four,NUM,CD,"numeral, cardinal"
poker,NOUN,NN,"noun, common, singular or mass"
status,NOUN,NN,"noun, common, singular or mass"
browse,VERB,VB,"verb, base form"
issue,NOUN,NN,"noun, common, singular or mass"
range,NOUN,NN,"noun, common, singular or mass"
building,VERB,VBG,"verb, present participle or gerund"
seller,NOUN,NN,"noun, common, singular or mass"
court,NOUN,NN,"noun, common, singular or mass"
february,NOUN,NN,"noun, common, singular or mass"
always,ADV,RB,adverb
result,VERB,VB,"verb, base form"
audio,NOUN,NN,"noun, common, singular or mass"
light,NOUN,NN,"noun, common, singular or mass"
write,VERB,VB,"verb, base form"
war,NOUN,NN,"noun, common, singular or mass"
offer,VERB,VB,"verb, base form"
blue,ADJ,JJ,"adjective or numeral, ordinal"
groups,NOUN,NNS,"noun, common, plural"
easy,ADJ,JJ,"adjective or numeral, ordinal"
given,VERB,VBN,"verb, past participle"
files,NOUN,NNS,"noun, common, plural"
event,NOUN,NN,"noun, common, singular or mass"
release,VERB,VB,"verb, base form"
analysis,NOUN,NN,"noun, common, singular or mass"
request,NOUN,NN,"noun, common, singular or mass"
fax,NOUN,NN,"noun, common, singular or mass"
china,NOUN,NN,"noun, common, singular or mass"
making,VERB,VBG,"verb, present participle or gerund"
picture,NOUN,NN,"noun, common, singular or mass"
needs,VERB,VBZ,"verb, present tense, 3rd person singular"
possible,ADJ,JJ,"adjective or numeral, ordinal"
might,AUX,MD,modal auxiliary
professional,ADJ,JJ,"adjective or numeral, ordinal"
yet,ADV,RB,adverb
month,NOUN,NN,"noun, common, singular or mass"
major,ADJ,JJ,"adjective or numeral, ordinal"
star,NOUN,NN,"noun, common, singular or mass"
areas,NOUN,NNS,"noun, common, plural"
future,NOUN,NN,"noun, common, singular or mass"
space,NOUN,NN,"noun, common, singular or mass"
committee,NOUN,NN,"noun, common, singular or mass"
hand,NOUN,NN,"noun, common, singular or mass"
sun,NOUN,NN,"noun, common, singular or mass"
cards,NOUN,NNS,"noun, common, plural"
problems,NOUN,NNS,"noun, common, plural"
london,NOUN,NN,"noun, common, singular or mass"
washington,NOUN,NN,"noun, common, singular or mass"
meeting,VERB,VBG,"verb, present participle or gerund"
become,VERB,VB,"verb, base form"
interest,NOUN,NN,"noun, common, singular or mass"
id,X,LS,list item marker
child,NOUN,NN,"noun, common, singular or mass"
keep,VERB,VB,"verb, base form"
enter,VERB,VB,"verb, base form"
california,NOUN,NN,"noun, common, singular or mass"
porn,NOUN,NN,"noun, common, singular or mass"
share,VERB,VB,"verb, base form"
similar,ADJ,JJ,"adjective or numeral, ordinal"
garden,NOUN,NN,"noun, common, singular or mass"
schools,NOUN,NNS,"noun, common, plural"
million,NUM,CD,"numeral, cardinal"
added,VERB,VBN,"verb, past participle"
reference,NOUN,NN,"noun, common, singular or mass"
companies,NOUN,NNS,"noun, common, plural"
listed,VERB,VBN,"verb, past participle"
baby,NOUN,NN,"noun, common, singular or mass"
learning,VERB,VBG,"verb, present participle or gerund"
energy,NOUN,NN,"noun, common, singular or mass"
run,VERB,VB,"verb, base form"
delivery,NOUN,NN,"noun, common, singular or mass"
net,NOUN,NN,"noun, common, singular or mass"
popular,ADJ,JJ,"adjective or numeral, ordinal"
term,NOUN,NN,"noun, common, singular or mass"
film,NOUN,NN,"noun, common, singular or mass"
stories,NOUN,NNS,"noun, common, plural"
put,VERB,VBN,"verb, past participle"
computers,NOUN,NNS,"noun, common, plural"
journal,NOUN,NN,"noun, common, singular or mass"
reports,NOUN,NNS,"noun, common, plural"
try,VERB,VB,"verb, base form"
welcome,INTJ,UH,interjection
central,ADJ,JJ,"adjective or numeral, ordinal"
images,NOUN,NNS,"noun, common, plural"
president,NOUN,NN,"noun, common, singular or mass"
notice,VERB,VB,"verb, base form"
god,INTJ,UH,interjection
